DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2925.5,-44.1,8.68,8.91,8.9,26.61,5.95,9.32,1060.27,0.02,5.51,2.28,13.19,2.5,938.49,1.07,25.22,1.05
2926.0,-45.8,8.68,8.91,8.92,25.69,5.83,8.69,1055.26,0.03,4.3,2.21,18.88,2.24,1149.72,0.87,29.11,0.82
2926.5,-48.29,8.68,8.91,8.91,25.61,5.25,7.6,1048.68,0.03,3.69,2.13,24.14,2.18,1353.12,0.74,33.66,0.71
2927.0,-50.86,8.68,8.91,8.91,25.13,4.95,6.78,1044.81,0.02,3.51,2.06,28.1,2.1,1509.14,0.66,37.77,0.67
2927.5,-52.84,8.68,8.91,8.87,25.76,4.69,6.11,1047.36,0.03,3.65,2.04,30.36,1.95,1614.53,0.62,39.35,0.67
2928.0,-54.25,8.68,8.91,8.89,25.89,4.76,6.15,1055.55,0.04,4.05,2.04,31.59,1.88,1645.13,0.61,38.92,0.71
2928.5,-55.11,8.68,8.91,8.89,22.51,4.69,6.14,1064.74,0.04,4.55,2.08,31.43,1.93,1593.9,0.63,36.96,0.77
2929.0,-55.5,8.68,8.91,8.88,18.33,5.18,7.02,1068.42,0.05,4.99,2.13,28.88,2.05,1485.3,0.67,34.13,0.86
2929.5,-55.4,8.68,8.91,8.89,17.9,5.4,7.68,1064.27,0.05,5.39,2.18,26.64,2.16,1336.69,0.75,31.29,0.95
2930.0,-54.88,8.68,8.91,8.88,18.81,5.5,8.18,1054.52,0.05,5.93,2.23,26.73,2.15,1196.93,0.84,28.28,1.05
2930.5,-54.07,8.69,8.91,8.91,18.52,5.44,8.16,1041.48,0.06,6.49,2.27,27.47,2.09,1065.32,0.94,25.77,1.15
2931.0,-53.19,8.68,8.91,8.9,19.08,5.53,8.45,1028.27,0.05,6.73,2.28,26.83,2.07,952.84,1.05,25.11,1.23
2931.5,-52.3,8.68,8.91,8.9,21.64,5.81,8.74,1021.42,0.04,6.53,2.28,24.82,2.09,868.86,1.15,25.06,1.29
2932.0,-51.45,8.68,8.91,8.9,22.94,5.88,8.8,1022.45,0.03,6.14,2.27,23.96,2.16,808.68,1.24,25.89,1.35
2932.5,-50.67,8.68,8.91,8.9,22.31,5.86,8.63,1028.1,0.01,5.93,2.24,24.7,2.27,770.8,1.3,27.76,1.4
2933.0,-49.9,8.68,8.91,8.91,22.18,5.53,8.26,1034.47,0.01,5.88,2.22,24.35,2.34,757.52,1.32,28.63,1.44
2933.5,-49.27,8.68,8.91,8.91,22.01,5.48,8.29,1037.61,0.01,5.69,2.23,22.32,2.28,763.46,1.31,28.02,1.45
2934.0,-49.06,8.68,8.91,8.9,21.27,5.54,8.13,1038.08,0.01,5.31,2.24,21.64,2.18,788.85,1.27,27.59,1.4
2934.5,-49.35,8.68,8.91,8.9,21.13,5.66,7.95,1036.99,0.01,4.91,2.22,23.19,2.07,839.4,1.19,28.75,1.31
2935.0,-49.96,8.68,8.91,8.91,21.22,5.5,7.5,1035.77,0.02,4.69,2.19,25.11,2.01,918.64,1.09,30.66,1.19
2935.5,-50.62,8.68,8.91,8.88,19.97,5.39,7.45,1033.49,0.03,4.63,2.17,25.84,2.02,1040.61,0.96,31.49,1.07
2936.0,-51.19,8.68,8.91,8.89,19.92,5.22,7.24,1030.29,0.04,4.6,2.18,25.99,2.05,1191.6,0.84,31.1,0.95
2936.5,-51.6,8.68,8.91,8.9,19.2,5.32,7.31,1024.21,0.03,4.5,2.17,26.02,2.11,1331.22,0.75,31.38,0.85
2937.0,-51.72,8.68,8.91,8.9,16.17,5.39,7.4,1014.63,0.01,4.31,2.15,26.32,2.15,1445.67,0.69,32.71,0.77
2937.5,-51.53,8.68,8.91,8.9,16.32,5.58,7.51,1007.49,0.01,4.09,2.13,27.19,2.16,1520.67,0.66,34.21,0.72
2938.0,-51.04,8.68,8.91,8.9,18.8,5.57,7.38,1003.38,0.02,3.92,2.11,28.82,2.13,1538.58,0.65,35.21,0.71
2938.5,-50.42,8.68,8.9,8.9,17.92,5.48,6.96,999.81,0.03,3.78,2.12,30.35,2.08,1512.66,0.66,34.75,0.73
2939.0,-49.69,8.68,8.9,8.9,16.92,5.12,6.64,993.77,0.03,3.7,2.13,30.5,2.1,1448.34,0.69,34.17,0.79
2939.5,-48.83,8.68,8.91,8.9,18.81,4.95,6.56,986.75,0.02,3.71,2.12,29.46,2.11,1339.89,0.75,34.34,0.89
2940.0,-47.87,8.68,8.91,8.9,20.22,4.98,6.69,980.55,0.02,3.75,2.12,27.91,2.01,1205.79,0.83,34.43,1.02
2940.5,-46.83,8.68,8.91,8.9,19.44,5.57,7.3,977.16,0.03,3.71,2.13,25.1,1.88,1025.46,0.98,34.1,1.15
2941.0,-45.72,8.68,8.91,8.91,19.58,5.79,7.52,977.93,0.03,3.75,2.12,23.74,1.84,878.9,1.14,34.5,1.28
2941.5,-44.75,8.68,8.91,8.9,20.86,5.79,7.31,979.42,0.04,4.26,2.12,24.67,1.82,819.69,1.22,34.7,1.38
2942.0,-44.04,8.68,8.91,8.9,20.0,5.39,6.63,980.46,0.05,5.34,2.14,25.92,1.78,818.61,1.22,33.43,1.43
2942.5,-43.5,8.68,8.91,8.9,19.3,5.37,6.92,980.89,0.06,6.42,2.19,24.72,1.76,861.24,1.16,30.16,1.4
2943.0,-43.19,8.68,8.91,8.91,20.29,5.67,7.83,982.75,0.06,6.57,2.27,22.02,1.84,916.3,1.09,25.69,1.28
2943.5,-43.19,8.68,8.91,8.9,20.07,6.05,8.79,987.39,0.06,5.8,2.32,20.5,2.03,957.65,1.04,22.56,1.15
2944.0,-43.55,8.68,8.91,8.9,19.01,5.7,8.19,994.2,0.04,4.88,2.31,22.75,2.26,979.0,1.02,23.43,1.07
2944.5,-44.22,8.68,8.91,8.9,19.79,5.46,7.47,999.79,0.01,4.41,2.26,27.27,2.39,977.68,1.02,26.32,1.05
2945.0,-45.0,8.68,8.91,8.91,21.71,5.1,6.71,1001.5,0.01,4.44,2.23,29.63,2.44,960.26,1.04,27.99,1.11
2945.5,-45.54,8.68,8.91,8.91,20.57,5.45,7.1,1000.73,0.02,4.8,2.23,29.55,2.46,926.12,1.08,27.86,1.25
2946.0,-45.39,8.68,8.91,8.93,19.2,5.53,7.54,998.87,0.03,5.23,2.26,26.47,2.39,866.04,1.15,26.26,1.48
2946.5,-44.53,8.68,8.91,8.89,20.9,5.66,7.94,998.11,0.03,5.79,2.29,22.81,2.24,783.89,1.28,24.5,1.78
2947.0,-43.47,8.68,8.91,8.9,23.58,5.57,7.85,1000.72,0.03,6.73,2.31,21.59,2.05,694.13,1.44,23.37,2.1
2947.5,-42.68,8.68,8.91,8.9,23.61,5.74,8.07,1004.86,0.05,7.86,2.35,21.72,1.95,606.44,1.65,21.22,2.34
2948.0,-42.29,8.68,8.91,8.9,21.54,6.25,9.03,1008.63,0.07,8.5,2.39,21.01,2.05,534.28,1.87,18.97,2.45
2948.5,-42.19,8.68,8.91,8.9,21.07,6.56,9.65,1012.48,0.06,8.31,2.37,19.26,2.2,484.71,2.06,19.8,2.46
2949.0,-42.13,8.68,8.91,8.9,21.72,6.29,9.37,1014.16,0.05,7.79,2.34,18.61,2.33,454.25,2.2,21.84,2.46
2949.5,-42.01,8.68,8.91,8.9,23.39,5.8,8.52,1011.84,0.04,7.64,2.32,19.58,2.38,442.22,2.26,22.61,2.49
